N;Funding Year;Línea de Investigación;Research Lines;Año;Autores;Título;Revista;Ficha de Publicación;DOI;ISSN;Abstract;Acceso;Páginas;Volumen;Index
159.0;2017;Servicios Ecosistémicos;ECO;2017;Lucas, C., Ceroni, M., Baeza, S., Muñoz, A. A., & Brazeiro, A.;Sensitivity of subtropical forest and savanna productivity to climate variability in South America, Uruguay;Journal of Vegetation Science;;10.1111/jvs.12475;1100-9233;"Increasing climate variability has major effects on forest productivity, as well as transitions between forest and savanna ecosystems. While drought-induced declines in tropical forest productivity and forest loss is a global concern, forest expansion in subtropical South America predicted by climate models has received little attention. In the forest–grassland transition zone encompassing Uruguay, we ask: (1) how does climate variability affect woodland productivity and at what time scales; and (2) how do different woodland types (riparian, hillside and wooded savanna) differ in their sensitivity to climate variability?";http://doi.wiley.com/10.1111/jvs.12475;192-205;vol.28 is.1;Thomson Reuters ISI
160.0;2017;Servicios Ecosistémicos;ECO;2017;Miranda, A., Altamirano, A., Cayuela, L., Lara, A., & González, M. E.;Native forest loss in the Chilean biodiversity hotspot: revealing the evidence;Regional Environmental Change;;10.1007/s10113-016-1010-7;1436-3798;Stretching over 4300 km north to south, Chile is a special country with complicated landscapes and rich biodiversity. Accurate and timely updated land cover map of Chile in detailed classification categories is highly demanded for many applications. A conclusive land cover map integrated from multi-seasonal mapping results and a seasonal dynamic map series were produced using Landsat 8 imagery mainly acquired in 2013 and 2014, supplemented by MODIS Enhanced Vegetation Index data, high resolution imagery on Google Earth, and Shuttle Radar Topography Mission DEM data. The overall accuracy is 80% for the integrated map at level 1 and 73% for level 2 based on independent validation data. Accuracies for seasonal map series were also assessed, which is around 70% for each season, greatly improved by integrated use of seasonal information. The importance of growing season imagery was proved in our analysis. The analysis of the spatial variation of accuracies among various ecoregions indicates that the accuracy for land cover mapping decreases gradually from central Chile to both north and south. More mapping efforts for those ecoregions are needed. In addition, the training dataset includes sample points spatially distributed in the whole country, temporally distributed throughout the year, and categorically encompassing all land cover types. This training dataset constitutes a universal sample set allowing us to map land cover from any Landsat 8 image acquired in Chile without additional ad hoc training sample collection.;http://link.springer.com/article/10.1007/s10113-016-1010-7;285-297;vol.17 is.1;Thomson Reuters ISI
161.0;2017;Biogeoquímica;BGQ;2017;Scaff, L., Rutllant, J. A., Rahn, D., Gascoin, S., & Rondanelli, R.;Meteorological Interpretation of Orographic Precipitation Gradients along an Andes West Slope Basin at 30°S (Elqui Valley, Chile);Journal of Hydrometeorology;;10.1175/JHM-D-16-0073.1;1525-755X;This paper summarizes the results of an intercomparison project with Earth System Models of Intermediate Complexity (EMICs) undertaken in support of the Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report (AR5). The focus is on long-term climate projections designed to 1) quantify the climate change commitment of different radiative forcing trajectories and 2) explore the extent to which climate change is reversible on human time scales. All commitment simulations follow the four representative concentration pathways (RCPs) and their extensions to year 2300. Most EMICs simulate substantial surface air temperature and thermosteric sea level rise commitment following stabilization of the atmospheric composition at year-2300 levels. The meridional overturning circulation (MOC) is weakened temporarily and recovers to near-preindustrial values in most models for RCPs 2.6-6.0. The MOC weakening is more persistent for RCP8.5. Elimination of anthropogenic CO2 emissions after 2300 results in slowly decreasing atmospheric CO2 concentrations. At year 3000 atmospheric CO2 is still at more than half its year-2300 level in all EMICs for RCPs 4.5-8.5. Surface air temperature remains constant or decreases slightly and thermosteric sea level rise continues for centuries after elimination of CO2 emissions in all EMICs. Restoration of atmospheric CO2 from RCP to preindustrial levels over 100-1000 years requires large artificial removal of CO2 from the atmosphere and does not result in the simultaneous return to preindustrial climate conditions, as surface air temperature and sea level response exhibit a substantial time lag relative to atmospheric CO2.;http://journals.ametsoc.org/doi/10.1175/JHM-D-16-0073.1;713-727;vol.18 is.3;Thomson Reuters ISI
162.0;2017;Servicios Ecosistémicos;ECO;2017;Urrutia-Jalabert, R., Malhi, Y., & Lara, A.;Soil respiration and mass balance estimation of fine root production in <i>Fitzroya cupressoides</i> forests of southern Chile;Ecosphere;;10.1002/ecs2.1640;2150-8925;The soil carbon dynamics of southern hemisphere temperate rainforests have rarely been studied. Here, we report for the first time soil CO2 effluxes and their partitioning for medium-age and old-growth Fitzroya cupressoides forests growing under contrasting environmental conditions in the Coastal Range and Andean Cordillera of southern Chile. Fitzroya is a high biomass and one of the longest lived species in the world. We characterized soil respiration patterns over almost 2 yr. Annual soil respiration was slightly higher in younger forests from the Coastal Range compared with Andean forests during the first studied year (6.37–6.66 vs. 5.06–6.14 Mg C·ha−1·yr−1), and significantly higher during the second year mainly due to a warmer and drier summer (8.08–8.64 vs. 4.98–5.35 Mg C·ha−1·yr−1). Therefore, warmer and drier conditions, likely to become more common in this region under future climate change, were associated with significantly higher respiration in the shallow soils of the coast, but not in the Andes. A higher proportion of autotrophic respiration was found in the Coastal Range forest probably due to a much higher fine root biomass in this site. However, fine root productivity, an important contributor of belowground carbon fluxes, was a little lower (not significantly) in the coastal site (0.81 ± 0.60 vs. 1.50 ± 0.42 Mg C·ha−1·yr−1), indicating a longer root residence time in forests from this area. Soil CO2 effluxes from these forests and their root productivity are at the lower end of values recorded for other mature and old-growth temperate wet forests worldwide. The intrinsic longevity and the particularly poor soils and rainy conditions where these forests grow may influence these facts. Interannual climate variability appears to be especially important for soil respiration in the Coastal Range due to the more Mediterranean climate influence and shallow, poor water retention soils in this area.;http://doi.wiley.com/10.1002/ecs2.1640;art01640;vol.4 is.8;Thomson Reuters ISI
163.0;2017;Modelación y Sistemas de Observación;MOS;2017;Villalobos, A. M., Barraza, F., Jorquera, H., & Schauer, J. J.;Wood burning pollution in southern Chile: PM2.5 source apportionment using CMB and molecular markers;Environmental Pollution;"<a href=""http://bit.ly/2HHhoaP"">Ver ficha</a>";10.1016/j.envpol.2017.02.069;0269-7491;"Temuco is a mid-size city representative of severe wood smoke pollution in southern Chile; i.e., ambient 24-h PM2.5 concentrations have exceeded 150 μg/m3 in the winter season and the top concentration reached 372 μg/m3 in 2010. Annual mean concentrations have decreased but are still above 30 μg/m3. For the very first time, a molecular marker source apportionment of ambient organic carbon (OC) and PM2.5 was conducted in Temuco. Primary resolved sources for PM2.5 were wood smoke (37.5%), coal combustion (4.4%), diesel vehicles (3.3%), dust (2.2%) and vegetative detritus (0.7%). Secondary inorganic PM2.5 (sulfates, nitrates and ammonium) contributed 4.8% and unresolved organic aerosols (generated from volatile emissions from incomplete wood combustion), including secondary organic aerosols, contributed 47.1%. Adding the contributions of unresolved organic aerosols to those from primary wood smoke implies that wood burning is responsible for 84.6% of the ambient PM2.5 in Temuco. This predominance of wood smoke is ultimately due to widespread poverty and a lack of efficient household heating methods. The government has been implementing emission abatement policies but achieving compliance with ambient air quality standards for PM2.5 in southern Chile remains a challenge.";http://www.sciencedirect.com/science/article/pii/S0269749116324666;;vol. in press;Thomson Reuters ISI
164.0;2017;Dinámica del Clima;CD;2017;Zambrano-Bigiarini, M., Nauditt, A., Birkel, C., Verbist, K., & Ribbe, L.;Temporal and spatial evaluation of satellite-based rainfall estimates across the complex topographical and climatic gradients of Chile;Hydrol. Earth Syst. Sci.;;10.5194/hess-21-1295-2017;1027-5606;"Accurate representation of the real spatio-temporal variability of catchment rainfall inputs is currently severely limited. Moreover, spatially interpolated catchment precipitation is subject to large uncertainties, particularly in developing countries and regions which are difficult to access. Recently, satellite-based rainfall estimates (SREs) provide an unprecedented opportunity for a wide range of hydrological applications, from water resources modelling to monitoring of extreme events such as droughts and floods.This study attempts to exhaustively evaluate – for the first time – the suitability of seven state-of-the-art SRE products (TMPA 3B42v7, CHIRPSv2, CMORPH, PERSIANN-CDR, PERSIAN-CCS-Adj, MSWEPv1.1, and PGFv3) over the complex topography and diverse climatic gradients of Chile. Different temporal scales (daily, monthly, seasonal, annual) are used in a point-to-pixel comparison between precipitation time series measured at 366 stations (from sea level to 4600 m a.s.l. in the Andean Plateau) and the corresponding grid cell of each SRE (rescaled to a 0.25° grid if necessary). The modified Kling–Gupta efficiency was used to identify possible sources of systematic errors in each SRE. In addition, five categorical indices (PC, POD, FAR, ETS, fBIAS) were used to assess the ability of each SRE to correctly identify different precipitation intensities.Results revealed that most SRE products performed better for the humid South (36.4–43.7° S) and Central Chile (32.18–36.4° S), in particular at low- and mid-elevation zones (0–1000 m a.s.l.) compared to the arid northern regions and the Far South. Seasonally, all products performed best during the wet seasons (autumn and winter; MAM–JJA) compared to summer (DJF) and spring (SON). In addition, all SREs were able to correctly identify the occurrence of no-rain events, but they presented a low skill in classifying precipitation intensities during rainy days. Overall, PGFv3 exhibited the best performance everywhere and for all timescales, which can be clearly attributed to its bias-correction procedure using 217 stations from Chile. Good results were also obtained by the research products CHIRPSv2, TMPA 3B42v7 and MSWEPv1.1, while CMORPH, PERSIANN-CDR, and the real-time PERSIANN-CCS-Adj were less skillful in representing observed rainfall. While PGFv3 (currently available up to 2010) might be used in Chile for historical analyses and calibration of hydrological models, the high spatial resolution, low latency and long data records of CHIRPS and TMPA 3B42v7 (in transition to IMERG) show promising potential to be used in meteorological studies and water resource assessments. We finally conclude that despite improvements of most SRE products, a site-specific assessment is still needed before any use in catchment-scale hydrological studies.";http://www.hydrol-earth-syst-sci.net/21/1295/2017/;1295-1320;vol.21 is.2;Thomson Reuters ISI
165.0;2014;Dinámica del Clima;CD;2014;Garreaud, R., & Viale, M.;Análisis de los fenómenos meteorológicos y climáticos que afectan la cuenca del río Maipo;Aquae Papers;;;2340-3675;Realizado bajo la coordinación de Manuel Cermerón, en el estudio han participado profesores e investigadores de la Universidad de Chile y de la Universidad Federico Santa María. El estudio considera tres ámbitos de investigación: análisis de los fenómenos Meteorológicos y Climáticos que afectan la Cuenca del Maipo, análisis de las características Geológicas y Geotécnicas de laderas en la Cuenca del Maipo, y un estudio sobre la determinación de posibles impactos en la gestión de los abastecimientos humanos de agua de la zona metropolitana de Chile y una proposición de alternativas de solución que mitiguen dichos impactos.;http://www.fundacionaquae.org/aquaeteca/aquae-papers/aquae-papers-5/;17-29;vol.5;Not indexed
166.0;2014;Dimensión Humana;HD;2014;Maljean-Dubois, S., & Moraga Sariego, Pilar.;Le principe des responsabilités communes mais différenciées dans le régime international du climat;Les Cahiers de droit;;10.7202/1025500ar;1918-8218;Parmi les accords internationaux sur l’environnement, le régime du climat offre l’application la plus aboutie du principe des responsabilités communes mais différenciées. Mais ce domaine révèle aussi tout particulièrement les difficultés d’application dudit principe. Justice, équité, responsabilités communes mais différenciées sont invoquées par les uns et par les autres pour servir parfois des fins diamétralement opposées. Depuis l’adoption de la Convention-cadre des Nations Unies sur les changements climatiques (1992) et du Protocole de Kyoto (1997), la structure des émissions mondiales de gaz à effet de serre a considérablement évolué, ne serait-ce que du fait de l’augmentation considérable des émissions des pays émergents et en particulier de la Chine. Bouclier pour les uns, repoussoir pour les autres, le principe est aujourd’hui très fréquemment invoqué dans les difficiles négociations du « post-2012 » et du « post-2020 », et voit son rôle progressivement évoluer.;http://www.erudit.org/fr/revues/cd1/2014-v55-n1-cd01443/1025500ar/;83-112;vol.55 is.1;LegalTrac y Lexis Nexis
167.0;2014;Dimensión Humana;HD;2015;Urquiza, A., & Cadenas, H.;Sistemas socio-ecológicos: elementos teóricos y conceptuales para la discusión en torno a vulnerabilidad hídrica;L'Ordinaire des Amériques;;10.4000/orda.1774;0997-0584;Several areas of Latin America suffer from water-related shortages and vulnerabilities. This situation has never been properly handled by local public authorities and has seen no real theoretical advances allowing a better understanding of the problem. This paper will focus on the conceptual analysis of socio-ecological systems and water-related shortages and vulnerabilities. It will use two theoretical approaches: that of complex adaptive systems and that of autopoietic social systems (i.e. systems able to maintain themselves in a larger environment, which makes them close to resilient systems). The goal is to suggest a few starting points for the study of this phenomenon, based on contemporary academic sources, in order to show how different theoretical models can be combined. The conclusion will stress the need to look for more complementary and inclusive perspectives to improve our understanding of contemporary environmental problems.;https://orda.revues.org/1774;1-18;is.218;Latindex
168.0;2015;Dinámica del Clima;CD;2015;LeQuesne, C., Rojas, M., & Christie, D. A.;Anillos de crecimiento de Austrocedrus chilensis: un archivo natural del cambio climático;Revista del Jardin Botánico Chagual;;;;Anillos de crecimiento y registro del clima del pasado;http://www.jardinbotanicochagual.cl;31-35;vol.12;Not indexed
169.0;2015;Servicios Ecosistémicos;ECO;2015;Smith-Ramírez, C., González, M. E., Echeverría, C., & Lara, A.;Estado actual de la Restauración ecológica en Chile, perspectivas y desafíos;Anales del Instituto de la Patagonia;;10.4067/S0718-686X2015000100002;0718-686X;"La restauración ecológica es una disciplina que nació hace poco menos de 30 años. En América Latina se encuentra en proceso de formación, siendo Chile uno de los países que ha liderado en algunos aspectos dicho proceso. El objetivo de este documento es hacer una revisión del estado del arte de la Restauración Ecológica (RE) en Chile. Específicamente apuntamos a: i) hacer una breve recopilación de las primeras acciones de restauración ecológica desarrolladas en el país; ii) identificar las acciones de restauración ecológica de ecosistemas forestales que se han realizado o se encuentran en ejecución;  iii) identificar las organizaciones que las han llevado a cabo, y sus principales ámbitos de acción; y iv) delinear cuales serían los desafíos y oportunidades de la RE en el país. Encontramos  cerca de 60 iniciativas de RE en el país, llevándose a cabo por ONG, gobierno, empresas y universidades. A pesar de ser muchas iniciativas la superficie que  abarca cada una de ellas es relativamente pequeña, sin embargo, hay compromisos de ampliarla considerablemente. La RE está siendo enseñada cada vez más en centros de educación superior. Los desafíos apuntan principalmente a generar Planes Nacionales y Regionales de RE que incluyan formas de financiamiento, soluciones pragmáticas e involucramiento social.";http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/693;11-21;vol.43 is.1;SciELO
170.0;2015;Dimensión Humana;HD;2015;Urquiza, A., & Morales, B.;La observación del problema ambiental en un contexto de diferenciación funcional;Revista Mad;;10.5354/0718-0527.2015.37324;0718-0527;"El presente trabajo es fruto de una investigación social cualitativa realizada el año 2014 en el marco del Núcleo Interdisciplinario de Estudios Socioambientales de la Universidad de Chile (NIES) y con el apoyo del Centro de Ciencia del Clima y Resiliencia (CR2). La investigación se centra en el problema ambiental desde tres ámbitos sociales: público, privado y conocimiento experto. El estudio identificó la existencia de tres tipos de obstáculos que dificultarían el diálogo entre los actores que son parte de la discusión, así como el tratamiento del problema socioambiental, estos son: obstáculos a nivel de institucionalidad y normativa vigente; obstáculos a nivel del actuar y de las relaciones entre los actores; y obstáculos que se presentan a nivel de los significados asignados al problema. En el presente artículo se abordan los últimos dos tipos de obstáculos desde una perspectiva sistémico constructivista.";http://www.revistamad.uchile.cl/index.php/RMAD/article/view/37324;64-93;is.33;Thomson Reuters ESCI y Scopus
171.0;2016;Dimensión Humana;HD;2016;Ahumada, G. A.;Derecho internacional y política de adaptación al cambio climático en Reino Unido;OPERA Colombia;;10.18601/16578651.n19.03;1657-8651;Este artículo describe la influencia que ha ejercido el derecho internacional desde las orientaciones provenientes del régimen internacional del cambio climático y la Unión Europea, en la gobernanza actual de la adaptación al cambio climático en el Reino Unido, especialmente en relación con la política del desarrollo sustentable.;http://revistas.uexternado.edu.co/index.php/opera/article/view/4737;11-34;is.19;Thomson Reuters ESCI y Latindex
172.0;2016;Dimensión Humana;HD;2016;Kugler, N. R., & Moraga Sariego, P.;“Climate change damages”, conceptualization of a legal notion with regard to reparation under international law;Climate Risk Management;;10.1016/j.crm.2016.06.004;2212-0963;The damages related to climate change are a concerning issue for the international community, as no country will escape the impacts of climate change. Indeed, it is a preoccupation for the countries (mostly vulnerable) that will suffer those damages, but also for the States that emitted greenhouse gases which fear to have to repair them. That’s why the international negotiation related to the climate regime use the ambiguous term “loss and damage” to design the impacts related to climate change. The purpose of this article is to know if the term “loss and damage” is a useful one in view of reparation under international law or if it is necessary to conceptualize the “climate change damage” notion employed by the doctrine. More precisely, the central question is the following: why is it necessary to conceptualize the “climate change damage” notion? Even though “loss and damage” could formally be a legal concept, it is substantially useless with regard to reparation under international law because it is too ambiguous. Therefore, we judged necessary to clarify the concept of “climate change damage” used by the doctrine but that unfortunately defines it insufficiently. Indeed, it could be useful for the doctrine but also for the lawyers of vulnerable countries and the judges to dispose of a legal notion in order to consider the reparation of the damages related to climate change under international law. Consequently, we propose in this article a definition of climate change damage that could be useful with regard to reparation under international law.;http://www.sciencedirect.com/science/article/pii/S2212096316300213;103-111;vol.13;Scopus
173.0;2016;Modelación y Sistemas de Observación;MOS;2016;Muñoz, F.;Conocimiento Climático y Redes de Datos Meteorológicos ¿Por qué necesitamos monitorear el clima?;Bits de Ciencia;;;0718-8005;El tiempo y el clima afectan la forma en que vivimos y las decisiones que tomamos. La disponibilidad hídrica, actividades económicas, interacciones sociales, migraciones, planificación e implementación de políticas públicas a diferentes escalas, e incluso la biodiversidad del planeta se relacionan con las tendencias climáticas o con la recurrencia de eventos extremos y los escenarios futuros. A nivel global, eventos meteorológicos extremos tales como sequías, tormentas de viento, olas de calor, inundaciones fluviales y costeras han aumentado considerablemente en las últimas décadas (ver Jennings 2011), y las proyecciones climáticas (IPCC, 2014) muestran que estos serán más frecuentes y severos. En nuestro país, por ejemplo, la sequía extrema y los aumentos de temperatura que hemos experimentado en los últimos seis años no tienen precedentes en el registro histórico. Esta condición se presenta en siete regiones con un déficit de precipitaciones cercano al 30% y en el contexto de la década más seca y cálida de los últimos 100 años.  Pero, ¿cómo podemos realizar predicciones a largo plazo y así determinar la eventual recurrencia de algún evento, diferenciando la contribución antropogénica de la variabilidad natural?  Sólo es posible si contamos con datos observados de larga data, robustos y confiables que sirvan de entrada a los modelos climáticos. En tanto, para predecir y generar alertas tempranas de eventos extremos –como aluviones, in-cendios forestales derivados de olas de calor, o tormentas inusuales– es también necesario contar con redes automáticas de monitoreo que recolecten, procesen y modelen estas observaciones en tiempo real.;https://www.dcc.uchile.cl/Bitsdeciencia14.pdf;35-41;is.14;Not indexed
174.0;2016;Biogeoquímica;BGQ;2016;Salazar, D., Corral, I., Corrales, P., Avilés, S., Escudero, A., Flores, C., … Palma, C.;¿Ocupaciones tardías del Complejo Cultural Bato en Maitencillo? Implicancias para la trayectoria histórica de las poblaciones del litoral de Chile Central;Boletín de la Sociedad Chilena de Arqueología;;;0716-5730;Se discute la existencia y características de ocupaciones posiblemente correspondientes al Complejo Cultural Bato en la costa de Maitencillo, a inicios del segundo milenio de nuestra era. Los datos provienen de excavaciones de rescate en los sitios Abanico 1 y Abanico 3, así como del análisis de sus materiales y contextos. Ambos sitios serían conchales efímeros con ocupaciones del Período Alfarero Temprano datadas entre los siglos XII y XIV, además de una ocupación histórica temprana en Abanico 3. Los resultados sugieren la posibilidad de que formas de vida tradicionales, originadas en el PAT de Chile Central, se mantengan en ciertos sectores hasta tiempos prehispánicos tardíos e incluso históricos tempranos, abriendo interesantes interrogantes acerca de las condiciones de coexistencia de estas poblaciones con otras sociedades más complejas tales como la Cultura Aconcagua, el Tawantinsuyu y el imperio hispano colonial.;http://www.scha.cl/index.php/publicaciones/boletines;1-27;vol.46;Latindex
175.0;2017;Biogeoquímica;BGQ;2017;Carrasco, C., Karstensen, J., & Farias, L.;On the Nitrous Oxide Accumulation in Intermediate Waters of the Eastern South Pacific Ocean;Frontiers in Marine Science;;10.3389/fmars.2017.00024;2296-7745;Nitrous oxide (N2O) is a powerful greenhouse gas principally produced by nitrification and denitrification in the marine environment. Observations were made in the eastern South Pacific (ESP), between 10° and 60°S, and ~75°–88°W, from intermediate waters targeting Antarctic Intermediate Water (AAIW) at potential density of 27.0–27.1 kg m−3. Between 60° and 20°S, a gradual equatorward increase of N2O from 8 to 26 nmol L−1 was observed at density 27.0–27.1 kg m−3 where AAIW penetrates. Positive correlations were found between apparent N2O production (ΔN2O) and O2 utilization (AOU), and between ΔN2O and NO−3NO3−, which suggested that local N2O production is predominantly produced by nitrification. Closer to the equator, between 20° and 10°S at AAIW core, a strong N2O increase up to 75 nmol L−1 was observed. Because negative correlations were found between ΔN2O vs. NO−3NO3− and ΔN2O vs. N* (a Nitrogen deficit index) and because ΔN2O and AOU do not follow a linear trend, we suspect that, in addition to nitrification, denitrification also takes place in N2O cycling. By making use of water mass mixing analyses, we show that an increase in N2O occurs in the region where high oxygen from AAIW merges with low oxygen from Equatorial Subsurface Water (ESSW), creating favorable conditions for local N2O production. We conclude that the non-linearity in the relationship between N2O and O2 is a result of mixing between two water masses with very different source characteristics, paired with the different time frames of nitrification and denitrification processes that impact water masses en route before they finally meet and mix in the ESP region.;http://journal.frontiersin.org/article/10.3389/fmars.2017.00024/full;art24;vol.4;Scopus
176.0;2017;Dimensión Humana;HD;2017;Moraga Sariego, P.;La Definición de Nuevos Estándares en Materia de Participación Ciudadana en el Sistema de Evaluación de Impacto Ambiental;Revista Derecho del Estado;;;2346-2051;La Ley 19.300 sobre Bases Generales del Medio Ambiente del año 1994, brindó el primer marco legal para la protección ambiental en el país, en el contexto de la Cumbre de Río realizada dos años antes. Luego de las recomendaciones efectuadas por la OCDE en el sentido de fortalecer la institucionalidad ambiental (2005), el legislador dicta la Ley N°20.417 que introduce la reforma ambiental (2010) y la Ley N°20.600 que crea los Tribunales Ambientales (2012). La primera amplía el ámbito de aplicación de la participación ciudadana del sistema de evaluación de impacto ambiental, sin embargo es el trabajo jurisprudencial del Segundo Tribunal Ambiental el que permitirá comprender el real alcance de la modificación legislativa. Esta judicatura especializada  desarrolla nuevos estándares de participación ciudadana en el marco del proyecto de la Empresa de Ferrocarriles del Estado. Se trata de una interpretación amplia del principio en miras a una aplicación real y no únicamente formal del mismo, lo que contribuye al fortalecimiento de esta institución en relación al principio de acceso a la información y a la justicia en materia ambiental.;http://revistas.uexternado.edu.co/index.php/derest/article/view/4773;;is.38;Scopus, ScieLO y Latindex
177.0;2017;Modelación y Sistemas de Observación;MOS;2017;de la Fuente, A., Rojas, M., Mac-Lean, C.;A human-scale perspective on global warming: Zero emission year and personal quotes;PloS one;;10.1371/journal.pone.0179705;1932-6203;"This article builds on the premise that human consumption of goods, food and transport are the ultimate drivers of climate change. However, the nature of the climate change problem (well described as a tragedy of the commons) makes it difficult for individuals to recognise their personal duty to implement behavioural changes to reduce greenhouse gas emissions. Consequently, this article aims to analyse the climate change issue from a human-scale perspective, in which each of us has a clearly defined personal quota of CO2 emissions that limits our activity and there is a finite time during which CO2  emissions must be eliminated to achieve the “well below 2 °C” warming limit set by the Paris Agreement of 2015 (COP21). Thus, this work’s primary contribution is to connect an  equal per capita fairness approach to a global carbon budget, linking personal levels with planetary levels. Here, we show that a personal quota of 5.0 tons of CO 2 yr -1 p -1 is a representative value for both past and future emissions; for this level of a constant per capita emissions and without considering any mitigation, the global accumulated emissions compatible with the “well below 2 °C” and 2 °C targets will be exhausted by 2030 and 2050, respectively. These are references years that provide an order of magnitude of the time that is left to reverse the global warming trend. More realistic scenarios that consider a smooth transition toward a zero-emission world show that the global accumulated emissions compatible with the “well below 2 °C” and 2 °C targets will be exhausted by 2040 and 2080, respectively. Implications of this paper include a return to personal responsibility following equity principles among individuals, and a definition of boundaries to the personal emissions of CO2 .";http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0179705;1-29;vol.12;Thomson Reuters ISI
178.0;2017;Modelación y Sistemas de Observación;MOS;2017;Escribano, J., Boucher, O., Chevallier, F., Huneeus, N.;Impact of the choice of the satellite aerosol optical depth product in a sub-regional dust emission inversion;Atmospheric Chemistry and Physics;;10.5194/acp-17-7111-2017;1680-7316;Mineral dust is the major continental contributor to the global atmospheric aerosol burden with important effects on the climate system. Regionally, a large fraction of the emitted dust is produced in North Africa, however the total emission flux from this region is still highly uncertain. In order to reduce these uncertainties, emission estimates through top-down approaches (i.e., usually models constrained by observations) had been successfully developed and implemented. Such studies usually rely on a single observational dataset and propagate the possible observational errors of this dataset onto the emission estimates. In this study, aerosol optical depth (AOD) products from five different satellites are assimilated one by one in a source inversion system to estimate dust emission fluxes over northern Africa and the Arabian Peninsula. We estimate mineral dust emissions for the year 2006 and discuss the impact of the assimilated dataset on the analysis. We find a relatively large dispersion in flux estimates among the five experiments, which can likely be attributed to differences in the assimilated observation datasets and their associated error statistics. We also show how the assimilation of a variety of AOD products can help to identify systematic errors in models.;http://www.atmos-chem-phys.net/17/7111/2017/;1-22;vol.17;Thomson Reuters ISI
179.0;2017;Servicios Ecosistémicos;ECO;2017;Ortega-Solís, G., Díaz, I., Mellado-Mansilla, D., Tello, F., Moreno, R., Tejo,  C.;Ecosystem engineering by Fascicularia bicolor in the canopy of the South-American temperate rainforest;Forest Ecology and Management;;10.1016/j.foreco.2017.06.020;417-428;"Ecosystem engineers are organisms that modify habitats and resource flows, they therefore could have a disproportionate impact on the diversity of ecological communities. Evidence suggests that trash basket epiphytes (TBE) can be considered ecosystem engineers of forest canopies, due to their relationship with arboreal soil availability and treetop communities. Here we evaluated whether the TBE Fascicularia bicolor (Bromeliaceae), modulates temperature and humidity in the forest canopy. We also investigated if this bromeliad is related with greater arboreal soil accumulation and is associated to higher diversity of other epiphytic plants and invertebrates in the canopy of the South-American temperate rainforest (SATR), in Chile. We measured temperature and humidity in ten trees within the forest before and after the experimental addition of F. bicolor. We also related the presence of F. bicolor with occurrence of soil macrofauna and other canopy dwelling plants in a comparative field survey.
Temperature variability in the canopy was reduced by F. bicolor. Soil availability was higher in siteswith mats of F. bicolor. The richness of vascular epiphytes was unaltered by the presence of F. bicolor,but species composition differed between sites with and without mats on each tree. At the group level,the cover of lichens and bryophytes was greater in sites without F. bicolor, while vascular epiphytes showa larger cover in sites with F. bicolor. The species richness of invertebrates increased in treetop sites colonized by F. bicolor but species composition was not different from soil in branch bifurcations. Our resultsshow that F. bicolor must be considered in forest management practices to determine which trees must belogged, in order to preserve the viability of populations of these key organisms in the treetops of South-American temperate rainforests.";http://linkinghub.elsevier.com/retrieve/pii/S0378112717302074;417-428;vol.400;Thomson Reuters ISI
181.0;2017;Modelación y Sistemas de Observación;MOS;2017;Barraza, F., Lambert, F., Jorquera, H., Villalobos, A. M., Gallardo, L.;Temporal evolution of main ambient PM 2.5 sources in Santiago, Chile, from 1998 to 2012;Atmospheric Chemistry and Physics Discussions;"<a href=""http://bit.ly/2HJbndE"">Ver ficha</a>";10.5194/acp-2017-18;1680-7375;"The inhabitants of Santiago in Chile have been exposed to harmful levels of air pollutants for decades. The city’s poor air quality is a result of sustained emissions and stable atmospheric conditions, averse to mixing and ventilation and favorable for the formation of oxidants and secondary aerosols. Identifying and quantifying the sources that contribute to the ambient levels of pollutants is key for designing adequate mitigation measures. Knowledge about the temporal evolution of the contribution of each source to ambient pollution levels is also paramount to evaluate the effectiveness of pollution reduction measures that have been implemented in the past decades. Here, we quantify the main sources that have contributed to fine
particulate matter (PM 2.5 ) between 1998 and 2012 in Santiago’s center by using two different source-receptor models (PMF 5.0 and Unmix 6.0), that re applied to elemental measurements on 1243 24-hour filter samples of ambient PM 2.5 collected between April-1998 to August-2012. Both models resolve six sources that contribute to ambient PM 2.5 : motor vehicles (37%), industrial sources (19%), copper smelters (14%), wood burning (12%), coastal sources (10%), and urban dust (3%).
Our results show that over the 15 years analyzed here, the emissions from motor vehicles, industrial sources, copper
smelters, and coastal sources declined by about 21, 39, 81, 59, and 59% respectively, while wood burning didn’t change and urban dust increase by 72%. These changes are consistent with emission reduction measures, such as improved vehicle and smelting technology, introduction of low sulfur fuel for vehicles and natural gas for industrial processes, emission controls for vehicles, public transport improvements etc.. However, it is also apparent that the mitigation expected from improved public transport, vehicle technology, and fuel has been largely nullified by the ever-rising number of private vehicle journeys in the past decade. As a consequence, Santiago still experiences PM 2.5 levels above the annual and 24-hours Chilean and World Health Organization standards";http://www.atmos-chem-phys-discuss.net/acp-2017-18/;1-21;vol. in press;Thomson Reuters ISI
